Date,State_Name,veg_id,veg_name,whole_price,retail_price,shop_mall_price,unit_val,Vegetable_Image
2023-05-01,Bihar,onionbig,Onion Big,22,25 - 28,26 - 36,1kg,resource/images/vegetables/onionbig-64.png
2023-05-01,Bihar,onionsmall,Onion Small,55,63 - 70,66 - 91,1kg,resource/images/vegetables/onionsmall-64.png
2023-05-01,Bihar,tomato,Tomato,17,20 - 22,20 - 28,1kg,resource/images/vegetables/tomato-64.png
2023-05-01,Bihar,greenchili,Green Chilli,45,52 - 57,54 - 74,1kg,resource/images/vegetables/greenchili-64.png
2023-05-01,Bihar,beetroot,Beetroot,38,44 - 48,46 - 63,1kg,resource/images/vegetables/beetroot-64.png
2023-05-01,Bihar,potato,Potato,23,26 - 29,28 - 38,1kg,resource/images/vegetables/potato-64.png
2023-05-01,Bihar,plantain,Raw Banana (Plantain),8,9 - 10,10 - 13,1kg,resource/images/vegetables/plantain-64.png
2023-05-01,Bihar,amaranthleaves,Amaranth Leaves,10,12 - 13,12 - 17,1kg,resource/images/vegetables/amaranthleaves-64.png
2023-05-01,Bihar,amla,Amla,60,69 - 76,72 - 99,1kg,resource/images/vegetables/amla-64.png
2023-05-01,Bihar,ashgourd,Ash gourd,25,29 - 32,30 - 41,1kg,resource/images/vegetables/ashgourd-64.png
2023-05-01,Bihar,babycorn,Baby Corn,65,75 - 83,78 - 107,1kg,resource/images/vegetables/babycorn-64.png
2023-05-01,Bihar,bananaflower,Banana Flower,14,16 - 18,17 - 23,1kg,resource/images/vegetables/bananaflower-64.png
2023-05-01,Bihar,capsicum,Capsicum,44,51 - 56,53 - 73,1kg,resource/images/vegetables/capsicum-64.png
2023-05-01,Bihar,bittergourd,Bitter Gourd,32,37 - 41,38 - 53,1kg,resource/images/vegetables/bittergourd-64.png
2023-05-01,Bihar,bottlegourd,Bottle Gourd,22,25 - 28,26 - 36,1kg,resource/images/vegetables/bottlegourd-64.png
2023-05-01,Bihar,butterbeans,Butter Beans,44,51 - 56,53 - 73,1kg,resource/images/vegetables/butterbeans-64.png
2023-05-01,Bihar,broadbeans,Broad Beans,43,49 - 55,52 - 71,1kg,resource/images/vegetables/broadbeans-64.png
2023-05-01,Bihar,cabbage,Cabbage,13,15 - 17,16 - 21,1kg,resource/images/vegetables/cabbage-64.png
2023-05-01,Bihar,carrot,Carrot,39,45 - 50,47 - 64,1kg,resource/images/vegetables/carrot-64.png
2023-05-01,Bihar,cauliflower,Cauliflower,24,28 - 30,29 - 40,1kg,resource/images/vegetables/cauliflower-64.png
2023-05-01,Bihar,clusterbeans,Cluster beans,44,51 - 56,53 - 73,1kg,resource/images/vegetables/clusterbeans-64.png
2023-05-01,Bihar,coconut,Coconut,24,28 - 30,29 - 40,1kg,resource/images/vegetables/coconut-64.png
2023-05-01,Bihar,colocasialeaves,Colocasia Leaves,15,17 - 19,18 - 25,1kg,resource/images/vegetables/colocasialeaves-64.png
2023-05-01,Bihar,colocasia,Colocasia,24,28 - 30,29 - 40,1kg,resource/images/vegetables/colocasia-64.png
2023-05-01,Bihar,corianderleaves,Coriander Leaves,6,7 - 8,7 - 10,1kg,resource/images/vegetables/corianderleaves-64.png
2023-05-01,Bihar,corn,Corn,28,32 - 36,34 - 46,1kg,resource/images/vegetables/corn-64.png
2023-05-01,Bihar,cucumber,Cucumber,26,30 - 33,31 - 43,1kg,resource/images/vegetables/cucumber-64.png
2023-05-01,Bihar,curryleaves,Curry Leaves,28,32 - 36,34 - 46,1kg,resource/images/vegetables/curryleaves-64.png
2023-05-01,Bihar,dillleaves,Dill Leaves,12,14 - 15,14 - 20,1kg,resource/images/vegetables/dillleaves-64.png
2023-05-01,Bihar,drumsticks,Drumsticks,80,92 - 102,96 - 132,1kg,resource/images/vegetables/drumsticks-64.png
2023-05-01,Bihar,brinjal,Brinjal,27,31 - 34,32 - 45,1kg,resource/images/vegetables/brinjal-64.png
2023-05-01,Bihar,brinjalbig,Brinjal (Big),23,26 - 29,28 - 38,1kg,resource/images/vegetables/brinjalbig-64.png
2023-05-01,Bihar,elephantyam,Elephant Yam,28,32 - 36,34 - 46,1kg,resource/images/vegetables/elephantyam-64.png
